 1 118 724 3 2 5 2 1096.6909 1097.6805
 13.422  1.856 -6.978 -8.815 24.279 36.591  4.717  2.700 -6.967
  24.198  8.474  2.804  0.977 -0.741 15.220 71.518 13.500   1.88
 1 118 724 3 2 5 2 1096.6909 1097.6805
 13.696  1.990 -7.069 -9.039 23.931 36.515  0.644  0.104 -6.967
  24.198  8.474  2.804  0.977 -0.741 15.220 71.518 13.500   1.88
 1 118 724 3 1 4 5 1096.6909 1097.6805
 12.195 -1.709-21.152-19.460-33.266-22.168  5.080  3.003-20.913
 -32.681  6.453  5.828  2.800 -0.019 23.574 36.892 12.095  -1.74
 1 118 724 3 5 8 7 1096.6909 1097.6805
 14.582  0.209  8.502  8.708-10.702  2.758  0.199  0.451  9.789
  -7.973 11.647 18.479  4.846 -1.316 -7.406-18.320 14.314  -0.10
 1 118 724 3 5 8 7 1096.6909 1097.6805
 14.221  0.475  9.991 10.461 -6.767  6.337  1.913  1.905  9.789
  -7.973 11.647 18.479  4.846 -1.316 -7.406-18.320 14.314  -0.10
 1 118 724 3 5 8 7 1096.6909 1097.6805
 14.848  0.458 10.007 10.461 -7.387  6.337  4.854  1.905  9.789
  -7.973 11.647 18.479  4.846 -1.316 -7.406-18.320 14.314  -0.10
 1 118 724 3 5 8 7 1096.6909 1097.6805
 14.730  0.374  9.632 10.002 -7.184  6.423  3.042 10.126  9.789
  -7.973 11.647 18.479  4.846 -1.316 -7.406-18.320 14.314  -0.10
 1 218 739 1 1 2 1 1097.6805 1098.8854
 14.801 -0.961 -8.815 -7.657 36.591 53.244  2.700  0.670 -8.823
  36.588  2.804  0.670  0.236 -0.236 71.518  0.000 14.804  -0.97
 1 218 739 1 1 2 1 1097.6805 1098.8854
 14.864 -1.147 -9.039 -7.657 36.515 53.244  0.104  0.670 -8.823
  36.588  2.804  0.670  0.236 -0.236 71.518  0.000 14.804  -0.97
 1 218 739 1 4 5 2 1097.6805 1098.8854
 14.521  1.310  6.244  7.822 42.306 58.621  0.203  3.059  6.776
  42.751 14.134  3.109  1.711  0.198-38.358-23.169 14.175   0.88
 1 218 739 1 4 5 2 1097.6805 1098.8854
 14.444  0.992  6.626  7.822 42.398 58.621  1.530  3.059  6.776
  42.751 14.134  3.109  1.711  0.198-38.358-23.169 14.175   0.88
 1 218 739 1 4 5 2 1097.6805 1098.8854
 14.550  1.332  6.217  7.822 42.271 58.621  2.288  3.059  6.776
  42.751 14.134  3.109  1.711  0.198-38.358-23.169 14.175   0.88
 1 218 739 1 4 5 2 1097.6805 1098.8854
 14.362  1.002  6.615  7.822 42.497 58.621  6.778  3.059  6.776
  42.751 14.134  3.109  1.711  0.198-38.358-23.169 14.175   0.88
 1 218 739 2 5 7 1 1097.6805 1098.8854
